,COUNTYNAME,2016,2021,2026,2031,2036,2016-2021,2021-2026,2026-2031,2031-2036,2016-2036,STATE,CWA,FIPS,TIME_ZONE,FE_AREA,LON,LAT,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,Androscoggin,107269,107967.8014385415,108578.74277635882,108769.41385391937,108643.1490643473,0.006514477048741973,0.0056585512502547175,0.0017560626756683018,-0.0011608483037487405,0.012810309263135533,ME,GYX,23001,E,sw,-70.2045,44.1654,14,39,5,87,12,56,148,9,200,23
1,Aroostook,68116,67928.77243064684,67735.73837729552,67337.09815861424,66857.36416383431,-0.0027486577214334007,-0.0028417126711425267,-0.005885227329490483,-0.007124363952392354,-0.01847782952853494,ME,CAR,23003,E,nn,-68.5988,46.6588,0,0,0,3,3,16,9,2,10,1
2,Cumberland,290905,294711.3297442412,298631.65097977035,301376.1566636412,302943.73665913683,0.013084442495801651,0.013302241345561239,0.009190270605498485,0.005201406816150778,0.04138373922461569,ME,GYX,23005,E,sw,-70.4096,43.8487,4,73,7,44,5,31,129,12,170,16
3,Franklin,30071,29963.778184192346,30029.54931594783,29967.17357808056,29772.523196380374,-0.0035656218884524415,0.00219502131377336,-0.002077145321463081,-0.006495453473215229,-0.00992573587907375,ME,GYX,23007,E,ww,-70.444,44.974,9,1,1,31,11,4,15,4,38,13
4,Hancock,54398,54588.458398834395,54679.27356097357,54521.55833023717,54152.49402244108,0.0035012022286553535,0.0016636330243229303,-0.0028843695328273355,-0.006769144520056836,-0.004513143453048207,ME,CAR,23009,E,se,-68.3531,44.6749,23,15,5,52,5,35,110,7,170,81
5,Kennebec,121328,120469.45692449519,120095.08537673773,119468.3452219865,118666.53838240795,-0.00707621551088633,-0.0031076055069468866,-0.005218699439574426,-0.006711458487925759,-0.021936087445536545,ME,GYX,23011,E,sc,-69.7672,44.4093,6,39,5,32,18,16,137,7,179,14
6,Knox,39655,39430.06176589632,39103.371941658785,38626.98204409724,38079.65694443493,-0.005672380131223842,-0.008285298313179146,-0.012182834213691485,-0.014169502008659962,-0.0397262149934452,ME,GYX,23013,E,sc,-69.173,44.15,16,6,5,60,9,60,105,4,176,60
7,Lincoln,33993,32800.6603430593,31724.953481594737,30650.76858894901,29604.859810643975,-0.035076034976045056,-0.03279528065026249,-0.033859305523297856,-0.03412341113958661,-0.12908952400070672,ME,GYX,23015,E,sc,-69.5431,44.0752,12,6,5,21,28,10,90,6,64,6
8,Oxford,57096,56107.928115873954,55241.28132331489,54293.50684694275,53171.27769033596,-0.01730544843992654,-0.015446066566016547,-0.017156996609565045,-0.020669675284936573,-0.06873900640437225,ME,GYX,23017,E,ww,-70.7555,44.499,12,9,1,17,8,33,73,5,34,12
9,Penobscot,151515,151926.81047821738,152294.02754613524,152131.73097625707,151748.94266244167,0.0027179518741866637,0.0024170656039048666,-0.001065679150346277,-0.0025161635337939137,0.0015440231161381046,ME,CAR,23019,E,ec,-68.6494,45.4006,4,7,0,20,8,10,25,3,29,6
10,Piscataquis,16876,15907.878926515328,14989.276040346907,14118.193735191544,13290.261536967995,-0.05736673817756999,-0.05774515197229024,-0.05811370094263757,-0.05864292654943626,-0.212475614069211,ME,CAR,23021,E,nc,-69.2835,45.838,0,0,0,0,0,4,2,0,0,5
11,Sagadahoc,35133,35232.99502752545,35282.73702585811,35197.19726339953,34993.958890319685,0.002846185282368463,0.0014118015880795198,-0.0024244083557316554,-0.005774277183461685,-0.003957564389044932,ME,GYX,23023,E,sc,-69.8613,43.9705,11,50,4,54,8,56,117,24,197,28
12,Somerset,50663,49191.95315820831,47923.07443758691,46741.81618209899,45591.63934378203,-0.029035920529611237,-0.0257944366742362,-0.024649049948294532,-0.02460702069932519,-0.10009988860150343,ME,GYXCAR,23025,E,wc,-69.9582,45.5138,4,0,1,12,8,10,42,3,19,15
13,Waldo,39425,39797.478518766504,39993.89302209656,40001.850521152315,39879.10829781024,0.009447774730919622,0.004935350445316233,0.0001989678537008821,-0.003068413629443656,0.011518282759930054,ME,GYX,23027,E,sc,-69.1478,44.5037,14,7,3,41,7,19,78,2,18,51
14,Washington,31566,31172.378813140218,30722.959364213908,30154.982914216707,29522.005794097004,-0.012469783528473055,-0.014417233013249042,-0.018487035811360686,-0.020990796841781068,-0.06475303193001958,ME,CAR,23029,E,se,-67.6361,45.0363,6,5,0,6,0,35,5,2,52,6
15,York,202223,208062.37588761892,213436.80328431656,217689.22369310804,220650.51219109935,0.02887592354786017,0.025830846993694534,0.01992355743412677,0.013603284754995615,0.09112470980600307,ME,GYX,23031,E,sw,-70.7156,43.4796,13,15,5,44,6,28,120,14,142,9
